gamma1,gamma2,norm,log10_break_energy_gev,scan
1.31,2.6303555253623188,1.77e-18,4.295596115840682,gamma2-log10_break_energy_gev
1.31,2.639923007246377,1.77e-18,4.395419073679944,gamma2-log10_break_energy_gev
1.31,2.642866847826087,1.77e-18,4.263037950192101,gamma2-log10_break_energy_gev
1.31,2.666417572463768,1.77e-18,4.455983961690484,gamma2-log10_break_energy_gev
1.31,2.667889492753623,1.77e-18,4.255020522955307,gamma2-log10_break_energy_gev
1.31,2.6929121376811596,1.77e-18,4.481693306693307,gamma2-log10_break_energy_gev
1.31,2.7164628623188407,1.77e-18,4.255896376350923,gamma2-log10_break_energy_gev
1.31,2.731550045289855,1.77e-18,4.537143970160276,gamma2-log10_break_energy_gev
1.31,2.748845108695652,1.77e-18,4.270044777357031,gamma2-log10_break_energy_gev
1.31,2.7576766304347826,1.77e-18,4.551051484747138,gamma2-log10_break_energy_gev
1.31,2.766508152173913,1.77e-18,4.277994831255701,gamma2-log10_break_energy_gev
1.31,2.7939839975845406,1.77e-18,4.324264594101551,gamma2-log10_break_energy_gev
1.31,2.813854921497585,1.77e-18,4.53083574034661,gamma2-log10_break_energy_gev
1.31,2.815817481884058,1.77e-18,4.350808566433567,gamma2-log10_break_energy_gev
1.31,2.831272644927536,1.77e-18,4.500820918212224,gamma2-log10_break_energy_gev
1.31,2.835197765700483,1.77e-18,4.410186311273269,gamma2-log10_break_energy_gev
1.31,2.840104166666667,1.77e-18,4.4453579029666,gamma2-log10_break_energy_gev
1.31,2.704350342190017,1.487779246669425e-18,4.39,norm-gamma2
1.31,2.7447463768115945,1.4974281233225976e-18,4.39,norm-gamma2
1.31,2.6517477766798425,1.5470177745525911e-18,4.39,norm-gamma2
1.31,2.799876482213439,1.5583554636034253e-18,4.39,norm-gamma2
1.31,2.634486166007905,1.6228560514565945e-18,4.39,norm-gamma2
1.31,2.8218750000000004,1.63012310034219e-18,4.39,norm-gamma2
1.31,2.629200634057971,1.6675899454424982e-18,4.39,norm-gamma2
1.31,2.8405683876811594,1.7548352948453433e-18,4.39,norm-gamma2
1.31,2.6306056488801057,1.780905041317462e-18,4.39,norm-gamma2
1.31,2.838414031620554,1.8324894666776458e-18,4.39,norm-gamma2
1.31,2.6417119565217395,1.856283652878422e-18,4.39,norm-gamma2
1.31,2.82055027173913,1.9083375006290255e-18,4.39,norm-gamma2
1.31,2.6446557971014495,1.8974497198738592e-18,4.39,norm-gamma2
1.31,2.6842259208937205,1.9740843525298016e-18,4.39,norm-gamma2
1.31,2.801272204609501,1.973905009567016e-18,4.39,norm-gamma2
1.31,2.7662037037037037,2.01225253660464e-18,4.39,norm-gamma2
1.31,2.7109763198757766,2.0160912653482288e-18,4.39,norm-gamma2
1.31,2.735,1.516686566754501e-18,4.349392704216075,norm-log10_break_energy_gev
1.31,2.735,1.5204332729468597e-18,4.285926177536233,norm-log10_break_energy_gev
1.31,2.735,1.5410401570048309e-18,4.387089156314701,norm-log10_break_energy_gev
1.31,2.735,1.5630208333333331e-18,4.258548460144928,norm-log10_break_energy_gev
1.31,2.735,1.592557367149758e-18,4.44509963768116,norm-log10_break_energy_gev
1.31,2.735,1.6372056159420289e-18,4.243548254281951,norm-log10_break_energy_gev
1.31,2.735,1.6543780193236713e-18,4.474663156702899,norm-log10_break_energy_gev
1.31,2.735,1.7058952294685991e-18,4.245808172302738,norm-log10_break_energy_gev
